source,severity,cve,package
"only:grype","Medium","CVE-2026-27456","libblkid"
"only:grype","Medium","CVE-2026-27456","libmount"
"only:grype","Medium","CVE-2026-27456","libsmartcols"
"only:grype","Medium","CVE-2026-27456","libuuid"
"only:grype","Low","CVE-2026-28388","openssl-libs"
"only:grype","Low","CVE-2026-28389","openssl-libs"
"only:grype","Low","CVE-2026-31789","openssl-libs"
"only:grype","Medium","CVE-2026-34743","xz-libs"
"only:grype","Medium","CVE-2026-3783","curl-minimal"
"only:grype","Medium","CVE-2026-3783","libcurl-minimal"
"only:grype","Medium","CVE-2026-3784","curl-minimal"
"only:grype","Medium","CVE-2026-3784","libcurl-minimal"
"only:grype","Medium","CVE-2026-4105","systemd-libs"
"only:grype","Medium","CVE-2026-41989","libgcrypt"
"only:grype","Low","CVE-2026-41990","libgcrypt"
"only:grype","Medium","CVE-2026-42250","bzip2-libs"
"only:grype","Medium","CVE-2026-4426","libarchive"
"only:grype","Medium","CVE-2026-4873","curl-minimal"
"only:grype","Medium","CVE-2026-4873","libcurl-minimal"
"only:grype","High","CVE-2026-51296","sqlite-libs"
"only:grype","High","CVE-2026-51297","sqlite-libs"
"only:grype","Medium","CVE-2026-51298","sqlite-libs"
"only:grype","Critical","CVE-2026-51302","sqlite-libs"
"only:grype","High","CVE-2026-51303","sqlite-libs"
"only:grype","High","CVE-2026-51304","sqlite-libs"
"only:grype","Medium","CVE-2026-54371","libattr"
"only:grype","Medium","CVE-2026-5545","curl-minimal"
"only:grype","Medium","CVE-2026-5545","libcurl-minimal"
"only:grype","Medium","CVE-2026-56391","coreutils-single"
"only:grype","Medium","CVE-2026-56392","coreutils-single"
"only:grype","Low","CVE-2026-57062","gnupg2"
"only:grype","Medium","CVE-2026-5745","libarchive"
"only:grype","Medium","CVE-2026-5773","curl-minimal"
"only:grype","Medium","CVE-2026-5773","libcurl-minimal"
"only:grype","Medium","CVE-2026-58010","glib2"
"only:grype","Medium","CVE-2026-58011","glib2"
"only:grype","Medium","CVE-2026-58012","glib2"
"only:grype","Medium","CVE-2026-58013","glib2"
"only:grype","Medium","CVE-2026-58014","glib2"
"only:grype","Medium","CVE-2026-58015","glib2"
"only:grype","Medium","CVE-2026-58055","libnghttp2"
"only:grype","Medium","CVE-2026-5958","sed"
"only:grype","Medium","CVE-2026-6253","curl-minimal"
"only:grype","Medium","CVE-2026-6253","libcurl-minimal"
"only:grype","Low","CVE-2026-6276","curl-minimal"
"only:grype","Low","CVE-2026-6276","libcurl-minimal"
"only:grype","Medium","CVE-2026-6429","curl-minimal"
"only:grype","Medium","CVE-2026-6429","libcurl-minimal"
"only:grype","Medium","CVE-2026-6653","libxml2"
"only:grype","Medium","CVE-2026-6732","libxml2"
"only:grype","Medium","CVE-2026-7168","curl-minimal"
"only:grype","Medium","CVE-2026-7168","libcurl-minimal"
"only:grype","High","CVE-2026-8286","curl-minimal"
"only:grype","High","CVE-2026-8286","libcurl-minimal"
"only:grype","Medium","CVE-2026-8924","curl-minimal"
"only:grype","Medium","CVE-2026-8924","libcurl-minimal"
"only:grype","High","CVE-2026-8925","curl-minimal"
"only:grype","High","CVE-2026-8925","libcurl-minimal"
"only:grype","Medium","CVE-2026-8926","curl-minimal"
"only:grype","Medium","CVE-2026-8926","libcurl-minimal"
"only:grype","Medium","CVE-2026-9149","libsolv"
"only:grype","Medium","CVE-2026-9150","libsolv"
"only:grype","High","CVE-2026-9547","curl-minimal"
"only:grype","High","CVE-2026-9547","libcurl-minimal"
"only:grype","Low","GO-2026-5024","golang.org/x/sys"
"only:trivy","UNKNOWN","CVE-2026-39824","golang.org/x/sys"
